page_id	text	url
60	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
61	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
62	Region settings	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
63	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
64	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
65	Language	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
66	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
67	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
68	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
69	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
70	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
71	Currency	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
72	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
73	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
74	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
75	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
76	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
77	The price for this currency is subject to change with foreign exchange rate. For reference only.	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
78	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
79	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
80	 Save 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
81	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
82	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
83	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
84	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
85	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
86		https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
87	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
88	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
