"id","text"
"dark-patterns-buster-271","Google 30W - 5A ,USB-C,Power Adaptor combo for Google d..."
"dark-patterns-buster-272","White, Cable Included"
"dark-patterns-buster-273","White, Cable Included"
"dark-patterns-buster-274","4.5"
"dark-patterns-buster-275","4.5"
"dark-patterns-buster-276","(26,121)"
"dark-patterns-buster-277","(26,121)"
"dark-patterns-buster-278","₹3,199"
"dark-patterns-buster-279","₹3,199"
"dark-patterns-buster-280","Google Nest Mini (2nd Gen) with Google Assistant with G..."
"dark-patterns-buster-281","Google Nest Mini (2nd Gen) with Google Assistant with G..."
"dark-patterns-buster-282","Charcoal"
"dark-patterns-buster-283","Charcoal"
"dark-patterns-buster-284","4.3"
"dark-patterns-buster-285","4.3"
"dark-patterns-buster-286","(43,068)"
"dark-patterns-buster-287","(43,068)"
"dark-patterns-buster-288","₹3,999"
"dark-patterns-buster-289","₹3,999"
"dark-patterns-buster-290","₹"
"dark-patterns-buster-291","₹"
"dark-patterns-buster-292","4,499"
"dark-patterns-buster-293","4,499"
"dark-patterns-buster-294","11% off"
"dark-patterns-buster-295","11% off"
"dark-patterns-buster-296","Add to Compare"
"dark-patterns-buster-297","Add to Compare"
"dark-patterns-buster-298","Google Pixel 8 (Hazel, 256 GB)"
"dark-patterns-buster-299","Google Pixel 8 (Hazel, 256 GB)"
"dark-patterns-buster-300","8 GB RAM"
"dark-patterns-buster-301","8 GB RAM"
"dark-patterns-buster-302","4.3"
"dark-patterns-buster-303","4.3"
"dark-patterns-buster-304","(1,283)"
"dark-patterns-buster-305","(1,283)"
"dark-patterns-buster-306","₹82,999"
"dark-patterns-buster-307","₹82,999"
"dark-patterns-buster-308","Add to Compare"
"dark-patterns-buster-309","Add to Compare"
"dark-patterns-buster-310","Google Pixel 8 (Hazel, 128 GB)"
"dark-patterns-buster-311","Google Pixel 8 (Hazel, 128 GB)"
"dark-patterns-buster-312","8 GB RAM"
"dark-patterns-buster-313","8 GB RAM"
"dark-patterns-buster-314","4.3"
"dark-patterns-buster-315","4.3"
"dark-patterns-buster-316","(1,283)"
"dark-patterns-buster-317","(1,283)"
"dark-patterns-buster-318","₹75,999"
"dark-patterns-buster-319","₹75,999"
